,sentence1,sentence2,scores
0,The two parties also agreed on the role of United Nations Peace Support Mission the NPP.,Insurgents attacked two Federal Border Patrol (FBP) checkpoints on multiple occasions with mortar-projected improvised explosive devices (IEDs).,0.0088779945
1,"UPA ’ s President Grub from the Federal Republican Party (FRP) has been losing public support, both domestically and abroad, over the last two years.","THESE TWO ATTACKS CONTIUE TO FOLLOW THE WELL ESTABLISHED PATTERN OF A TWO TO FIVE HASTILY ERECTED FIRING POSITIONS, NEAR SIMULTANEOUS ATTACKS ON MULTIPLE TARGETS AND CREWS RAPIDLY DISASSEMBLING AND MOVING THE SYSTEM BEFORE COUNTER-FIRE CAN TARGET THEM.",0.023775563
2,"OK, YOU'VE HAD SOME TIME TO GET A FEEL FOR YOUR SURROUNDINGS AND EMPLACE SOME SECURITY/EARLY WARNING MEASURES, SO NOW IT'S TIME TO GET DOWN TO BUSINESS.","After exiting their vehicle, the two guards walked up and activated a pressure plate wrapped in plastic that was buried near the path.",0.008992505
3,The ROP government is in a complete reactionary mode trying to jump from crisis to crisis.,"Monetary payments made to civilians harmed helps to convey sympathy, dignify losses, and tracks with the ROP principles of humanity and compassion.",0.113636225
4,"CONVERSLY, THE CJTF STAFF, WHICH HAS BEEN ON THE GROUND SINCE APPROXIMATELY W+003-5, IS QUIETLY ""URGING"" THE CJSOTF TO ""MOVE THINGS ALONG.""","THE PRESS CONFERENCE CONCLUDED WITH THE PRESIDENT POLITELY DECLINING TO TAKE QUESTIONS STATING THE ""BUSINESS OF THE OFFICE WAS MORE PRESSING SO LONG AS OUR FELLOW COUNTRYMEN WERE LIVING UNDER OPPRESSION.""",0.04442363
5,"HIS REPLACEMENT HAS BEEN NAMED AS ANTHONY WAYNE BEAVER, A VERY VOCAL SUPPORTER OF THE LPP LEADERSHIP.",HIGH NEAR 65.,0.010228857
6,NFI,"This capture may have opened the door for new leadership to step in, especially at the street level.",0.073484406
7,"AS REPORTED IN PREVIOUS INTELLIGENCE SUMMARIES (INTSUMS), VEHICLE-BORNE IED (VBIED) ATTACKS HAVE HAD A SIGNIFICANT PSYCHOLOGICAL EFFECT ON THE POPULATION.","AN ESTIMATED 37 MORTAR ROUNDS FELL ON THE TWO SUPPLY YARDS CAUSING CONSIDERABLE DAMAGE TO CONSTRUCTION MATERIALS, WHILE WOUNDING JUST THREE PARATROOPERS.",0.009398102
8,THIS IS PARTICULARLY NOTEWORTHY CONSIDERING MOST INSERTIONS WENT BY GROUND AND THE AMOUNT OF CURRENT PRP FOCUS ON THE BORDER AND BORDER SECURITY.,C. AO SABER.,0.018082658
9,A number of kidnappings have occurred in the ROP in the past twenty-four hours.,"TONIGHT: SHOWERS, MAINLY BEFORE 8PM.",0.009018531
10,"Triis Jander, 30th MID Logistics Officer, told CBC News that two containers had been broken into and that equipment was missing when the containers from Afghanistan were opened in the CSX rail yard.",This is expected provide a greater degree of legislative flexibility and some degree of judicial freedom.,0.010303505
11,"Reluctantly, the ROP government in Columbia is beginning to realize that some dialogue with opposing views may be a necessary part of the future in NPP.",1) IT IS STRONGLY BELIEVED THAT THE PHONE/CELLULAR NETWORK OUTAGES IN SURRY COUNTY WERE DUE TO THE INSTALLATION AND TESTING OF MONITORING AND POSSIBLY RECORDING EQUIPMENT IN AN ATTEMPT TO GAIN GREATER CONTROL OVER WHAT IS BELIEVED TO BE THE INSURGENTS PRIMARY MEANS OF COMMUNICATIONS.,0.01015209
12,AATIMO remains one of the most dangerous violent groups operating in the southern Piedmont.,THE THREE MEN ALLEGED TO HAVE KILLED A TOTAL OF TWO HUNDRED PEOPLE TOLD THE JUDGE THEY WERE NOT GUILTY AND THEY HAD BEEN FRAMED BY THE ILLEGAL POLICE.,0.0315741
13,Hate groups have proliferated and are filling the airwaves and Internet with Hate commentary that is now turning into actual copycat events.,"General Nicholas Christian, ISC commander and General Wes Hinson, UPA military commander, hosted the delegation.",0.008780644
14,"Analyst Note: Items captured at Elk Point Park included -[A] 35 Hand Guns, [B] 20 M-4 Assault Rifles, [C] 10 M-16A2 Assault Rifles, [D] 2 M60 Machine Guns, [E] 3 M240 Machine Guns, [F] 30 Armor Protective Vests, [G] 12 Night Vision Goggles (PVS- 5), [H] 35 Load Bearing equipment, [I] 68 Sets of black US OG 107 Fatigues, [J] 5 U.S. M-5 Field Medical Kits, [K] 30 M-17A2 Protective Masks.",//No Further Information (NFI) Office of the Director of National Intelligence Open Source Center (www.opensource.gov)//.,0.092179716
15,EXCELLENT JOB SO FAR ON PAINTING THE PICTURE OF THE POSSIBLITIES OF YOUR AO.,Fines for taking part in unauthorized rallies were stiffened under a new repressive law hastily passed by both houses last week and signed by Hale-Canteth on Friday.,0.009001476
16,The Voice of the NPP also posted an article discussing the numerous checkpoints teachers in the NPP have to cross in order to reach various schools.,"Reports from the Terrorist Insurgent and Lawless Task Force (TILTF) investigation into the person borne improvised explosive device (IED) (PBIED) Mass transit event in the Charlotte Area Transit System (CATS) are inconclusive, but biometric matches were made to a gang member from Roanoke Rapids, NPP.",0.02281917
17,3.,"Initially the community consisted of less than 100,000, but today consists of more than 170,000.",0.31609863
18,"SUNNY POINT IS THE LARGEST MILITARY OCEAN TERMINAL IN THE FORMER NPP AND SERVES AS A TRANSFER POINT BETWEEN RAIL, TRUCKS, AND SHIPS FOR THE IMPORT AND EXPORT OF WEAPONS, AMMUNITION, EXPLOSIVES, AND MILITARY EQUIPMENT.",(1) THURSDAY.,0.025335915
19,A COLD FRONT WILL BRING ANOTHER CHANCE OF RAIN LATE TUESDAY THROUGH WEDNESDAY.,"We support militant working class struggles, nonviolent resistance to present socialist alternatives in the ROP.",0.011255317
20,THE TWO ATTACKS CONSISTED OF ACCURATE MORTAR FIRE DIRECTED AT STOCKPILED SUPPLIES IN THE COMPOUND YARDS.,"(SIGACT ROP-209-FA-W-036), Reported by Fayetteville City Police and NPP BOI, Director N. Christian, Pope Army Airfield, 70th Logistical Supply section patrol, 0334 hours, 1 x high-mobility multi-wheeled vehicle (HMMWV) attacked during a midnight logistic transit to Fort Bragg.",0.010233415
21,"The attack nearly missed the mess hall facility, but impacted the barracks where many soldiers were still sleeping.","As reported in previous Intelligence Summaries (INTSUMs), borne IED (VBIED) attacks have had a significant psychological effect on the population.",0.15862566
22,"The attacks caused multiple fires, destroyed six vehicles, and produced the following casualties:  KIA: sixteen, wounded in action (WIA):  twenty-seven.","TWO U.S. 10TH MOUNTAIN DIVISION SOLDIERS, DRIVING A GOVERNMENT VEHICLE, WERE KILLED IN A TRAFFIC ACCIDENT NEAR SPARTANBURG, SPP.",0.05336173
